rank,course_name,location,edition,source_url
53,Pete Dye GC,"Bridgeport, WV",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
54,Ballyneal,"Holyoke, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
55,Old Macdonald,"Bandon, OR",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
56,Kinloch – USA,"Manakin Sabot, VA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
57,Interlachen,"Edina, MN",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
58,Baltusrol – Upper,"Springfield, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
59,Winged Foot – East,"Mamaroneck, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
60,Canyata Golf Club,"Marshall, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
61,Dallas National,"Dallas, TX",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
62,Milwaukee CC,"River Hills, WI",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
63,Club at Black Rock,"Coeur d'Alene, ID",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
64,Yeamans Hall,"Hanahan, SC",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
65,Arcadia Bluffs,"Arcadia, MI",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
66,Olympia Fields – North,"Olympia Fields, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
67,Monterey Peninsula CC – Shore,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
68,Whispering Pines,"Trinity, TX",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
69,Inverness,"Toledo, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
70,The Estancia Club,"Scottsdale, AZ",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
71,Quaker Ridge,"Scarsdale, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
72,Plainfield,"Edison, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
73,Somerset Hills,"Bernardsville, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
74,Bandon Trails,"Bandon, OR",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
75,Boston GC,"Hingham, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
76,Double Eagle,"Galena, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
77,Quarry at La Quinta,"La Quinta, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
78,Mountaintop,"Cashiers, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
79,Old Sandwich,"Plymouth, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
80,Cherry Hills,"Englewood, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
81,Rich Harvest Links,"Sugar Grove, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
82,Congressional – Blue,"Bethesda, MD",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
83,The Valley Club,"Aurora, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
84,Kittansett Club,"Marion, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
85,Flint Hills National,"Andover, KS",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
86,Hazeltine National,"Benton Township, MN",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
87,The Preserve,"Vancleave, MS",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
88,Calusa Pines,"Naples, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
89,Eagle Point,"Wilmington, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
90,Aronimink,"Newtown Square, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
91,Blackwolf Run – River,"Kohler, WI",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
92,Laurel Valley,"Ligonier, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
93,Crooked Stick,"Carmel, IN",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
94,Diamond Creek,"Banner Elk, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
95,Hudson National,"Croton On Hudson, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
96,French Lick – Pete Dye,"Orange County, IN",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
97,Valhalla,"Louisville, KY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
98,Maidstone,"East Hampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
99,Shoreacres,"Lake Bluff, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
100,Streamsong – Red,"Bowling Green, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
1,Pine Valley,"Pine Valley, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
2,Augusta National,"Augusta, GA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
3,Cypress Point,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
4,Shinnecock Hills,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
5,Oakmont,"Oakmont, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
6,Merion Golf Club,"Ardmore, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
