rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
2,Cypress Point,"Pebble Beach, CA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
3,Shinnecock Hills,"Southampton, NY",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
4,National Golf Links of America,"Southampton, NY",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
5,Oakmont,"Oakmont, PA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
6,Sand Hills,"Mullen, NE",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
7,Augusta National,"Augusta, GA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
8,Merion (East),"Ardmore, PA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
9,Fishers Island,"Fishers Island, NY",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
10,Los Angeles (North),"Los Angeles, CA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
11,Pebble Beach,"Pebble Beach, CA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
12,Pinehurst (No. 2),"Pinehurst, NC",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
13,Chicago GC,"Wheaton, IL",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
14,Riviera,"Pacific Palisades, CA",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
15,Friar’s Head,"Riverhead, NY",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
16,Winged Foot (West),"Mamaroneck, NY",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
17,Pacific Dunes,"Bandon, OR",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
18,Prairie Dunes,"Hutchinson, KS",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
19,Oakland Hills (South),"Bloomfield Hills, MI",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
20,Crystal Downs,"Frankfort, MI",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
21,Seminole,"Juno Beach, FL",2022-23,https://golf.com/travel/courses/top-100-golf-courses-in-the-us-2022-23-ranking/
