rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
2,Cypress Point,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
3,Augusta National,"Augusta, GA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
4,Shinnecock Hills,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
5,National Golf Links of America,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
6,Oakmont,"Oakmont, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
7,Pebble Beach,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
8,Merion Golf Club,"Ardmore, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
9,Sand Hills,"Mullen, NE",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
10,Pinehurst – No 2,"Pinehurst, NC",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
11,Fishers Island,"Fishers Island, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
12,Chicago GC,"Wheaton, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
13,LA Country Club – North,"Beavercreek, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
14,Seminole,"Juno Beach, FL",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
15,Crystal Downs,"Frankfort, MI",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
16,San Francisco GC,"San Francisco, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
17,Pacific Dunes,"Bandon, OR",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
18,Winged Foot – West,"Mamaroneck, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
19,Prairie Dunes,"Hutchinson, KS",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
20,Riviera CC,"Pacific Palisades, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
21,Friar's Head,"Riverhead, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2017
