rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
2,Cypress Point,"Pebble Beach, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
3,Shinnecock Hills,"Southampton, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
4,National Golf Links of America,"Southampton, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
5,Oakmont,"Oakmont, PA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
6,Augusta National,"Augusta, GA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
7,Sand Hills,"Mullen, NE",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
8,Merion (East),"Ardmore, PA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
9,Pebble Beach,"Pebble Beach, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
10,Los Angeles (North),"Los Angeles, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
11,Fishers Island,"Fishers Island, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
12,Chicago,"Wheaton, IL",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
13,Pinehurst No. 2,"Pinehurst, NC",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
14,Riviera,"Pacific Palisades, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
15,Friar’s Head,"Riverhead, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
16,Prairie Dunes,"Hutchinson, KS",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
17,Seminole,"Juno Beach, FL",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
18,Winged Foot (West),"Mamaroneck, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
19,Pacific Dunes,"Bandon, OR",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
20,Oakland Hills (South),"Bloomfield Hills, MI",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
21,The Country Club (Clyde/Squirrel),"Brookline, MA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
22,San Francisco,"San Francisco, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
23,Crystal Downs,"Frankfort, MI",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
24,Southern Hills,"Tulsa, OK",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
25,Shoreacres,"Lake Bluff, IL",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
26,California Golf Club of San Francisco,"South San Francisco, CA",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
27,Somerset Hills,"Bernardsville, NJ",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
28,Garden City,"Garden City, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
29,Maidstone,"East Hampton, NY",2024-25,https://golf.com/travel/courses/best-golf-courses-united-states-2024-2025/
