rank,course_name,location,edition,source_url
52,Wade Hampton,"Cashiers, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
53,Pasatiempo,"Santa Cruz, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
54,Yale Golf Course,"New Haven, CT",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
55,The Honors,"Ooltewah, TN",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
56,Streamsong – Blue,"Bowling Green, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
57,Piping Rock,"Locust Valley, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
58,Spyglass Hill,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
59,Sebonack,"Southampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
60,Yeamans Hall,"Hanahan, SC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
61,Rock Creek Cattle Co,"Deer Lodge, MT",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
62,The Valley Club,"Aurora, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
63,Congressional – Blue,"Bethesda, MD",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
64,Baltusrol – Upper,"Springfield, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
65,Newport CC,"Newport, RI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
66,Shadow Creek,"North Las Vegas, NV",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
67,Essex County Club,"Manchester, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
68,Eastward Ho!,"Chatham, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
69,Myopia Hunt Club,"South Hamilton, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
70,Peachtree,"Atlanta, GA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
71,Nanea,"Kailua Kona, HI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
72,Cherry Hills,"Englewood, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
73,The Creek Club,"Spartanburg, SC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
74,Kittansett Club,"Marion, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
75,Milwaukee CC,"River Hills, WI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
76,Chambers Bay,"University Place, WA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
77,Monterey Peninsula CC – Shore,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
78,Old Town Club,"Winston Salem, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
79,Ridgewood CC,"Paramus, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
80,East Lake,"Atlanta, GA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
81,Gozzer Ranch,"Harrison, ID",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
82,Interlachen,"Edina, MN",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
83,Trump National – Old,"Bedminster, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
84,Hazeltine National,"Benton Township, MN",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
85,Scioto,"Columbus, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
86,Boston GC,"Hingham, MA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
87,Olympia Fields – North,"Olympia Fields, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
88,Calusa Pines,"Naples, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
89,Baltimore CC – Five Farms,"Lutherville, MD",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
90,Bel-Air CC,"Los Angeles, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
91,Colonial CC – Fort Worth,"Fort Worth, TX",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
92,Doral – Blue Monster,"Jupiter, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
93,Mountain Lake,"Lake Wales, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
94,Blackwolf Run – River,"Kohler, WI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
95,Fox Chapel,"Pittsburgh, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
96,Bellerive CC,"Creve Coeur, MO",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
97,Country Club of Fairfield,"Fairfield, CT",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
98,Crooked Stick,"Carmel, IN",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
99,Torrey Pines – South,"La Jolla, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
100,Aronimink,"Newtown Square, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
