rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
2,Augusta National,"Augusta, GA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
3,Cypress Point,"Pebble Beach, CA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
4,Shinnecock Hills,"Southampton, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
5,Oakmont,"Oakmont, PA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
6,Merion Golf Club,"Ardmore, PA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
7,National Golf Links of America,"Southampton, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
8,Pebble Beach,"Pebble Beach, CA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
9,Fishers Island,"Fishers Island, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
10,Sand Hills,"Mullen, NE",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
11,Seminole,"Juno Beach, FL",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
12,Winged Foot – West,"Mamaroneck, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
13,Chicago GC,"Wheaton, IL",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
14,Crystal Downs,"Frankfort, MI",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
15,Muirfield Village,"Dublin, OH",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
16,Friar's Head,"Riverhead, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
17,Country Club – Brookline,"Pepper Pike, OH",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
18,Pacific Dunes,"Bandon, OR",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
19,LA Country Club – North,"Beavercreek, OH",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
20,Oak Hill – East,"Rochester, NY",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
21,Oakland Hills – South,"Bloomfield Hills, MI",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
22,Riviera CC,"Pacific Palisades, CA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
23,Whistling Straits – Straits,"Sheboygan, WI",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
24,Kiawah Island – Ocean,"Kiawah Island, SC",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
25,Prairie Dunes,"Hutchinson, KS",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
26,Wade Hampton,"Cashiers, NC",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
27,Shadow Creek,"North Las Vegas, NV",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
28,The Honors,"Ooltewah, TN",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
29,Pinehurst – No 2,"Pinehurst, NC",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
30,Peachtree,"Atlanta, GA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
31,Gozzer Ranch,"Harrison, ID",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
32,Southern Hills,"Tulsa, OK",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
33,Pikewood National,"Morgantown, WV",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
34,The Olympic Club,"San Francisco, CA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
35,The Alotian,"Roland, AR",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
36,San Francisco GC,"San Francisco, CA",2021-22,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2021
